City_State,Population,
Lauderhill_FL,67073,
St.Cloud_MN,66948,
Kenner_LA,66942,
Meridian_ID,66916,
Passaic_NJ,66884,
RedondoBeach_CA,66882,
Pleasanton_CA,66828,
Carmel_IN,66769,
Waterloo_IA,66662,
Skokie_IL,66620,
Dothan_AL,66505,
Concord_NC,66311,
Pontiac_MI,66095,
YorbaLinda_CA,65717,
Loveland_CO,65587,
Layton_UT,65514,
RapidCity_SD,65491,
MountPleasant_SC,65472,
EauClaire_WI,65426,
FortMyers_FL,65394,
EastOrange_NJ,65390,
Pharr_TX,65258,
NorthRichlandHills_TX,65078,
Manteca_CA,65028,
Muncie_IN,64975,
Harlingen_TX,64843,
LagunaNiguel_CA,64469,
St.Charles_MO,64386,
DaytonaBeach_FL,64211,
Pittsburg_CA,64148,
DelrayBeach_FL,64092,
Lafayette_IN,64049,
Eagan_MN,63985,
Jonesboro_AR,63960,
Oshkosh_WI,63679,
Weston_FL,63628,
WalnutCreek_CA,63486,
Camarillo_CA,63324,
Kennewick_WA,63216,
Jackson_TN,63158,
PicoRivera_CA,63138,
Davis_CA,62593,
Portland_ME,62561,
Victoria_TX,62558,
Janesville_WI,62516,
SouthSanFrancisco_CA,62502,
Hamilton_OH,62477,
BossierCity_LA,62384,
CedarPark_TX,62308,
Kissimmee_FL,62291,
Springfield_OH,62269,
Renton_WA,62266,
RanchoCordova_CA,62265,
UnionCity_NJ,62183,
JohnsonCity_TN,61990,
Montebello_CA,61906,
CoonRapids_MN,61832,
MapleGrove_MN,61542,
SanClemente_CA,61465,
WarnerRobins_GA,61336,
Lodi_CA,61301,
Haverhill_MA,61275,
MontereyPark_CA,61234,
YubaCity_CA,61226,
EdenPrairie_MN,61191,
Schenectady_NY,61152,
Shawnee_KS,60954,
Bristol_CT,60927,
HuntingtonPark_CA,60898,
Rockville_MD,60734,
Taylor_MI,60619,
Bismarck_ND,60389,
Encinitas_CA,60372,
St.ClairShores_MI,60364,
Waltham_MA,60236,
Flagstaff_AZ,60222,
Revere_MA,60204,
TerreHaute_IN,60007,
Greenville_SC,59988,
Temple_TX,59654,
CouncilBluffs_IA,59536,
Goodyear_AZ,59508,
JohnsCreek_GA,59431,
NorthLittleRock_AR,59430,
WestAllis_WI,59416,
PaloAlto_CA,59395,
Tamarac_FL,59340,
GreatFalls_MT,59251,
Frederick_MD,59213,
TinleyPark_IL,59198,
Meriden_CT,59186,
LaHabra_CA,59155,
Burnsville_MN,59139,
Taylorsville_UT,58785,
Vineland_NJ,58780,
Gaithersburg_MD,58744,
NationalCity_CA,58680,
Gardena_CA,58554,
Franklin_TN,58481,
Utica_NY,58082,
Homestead_FL,57936,
Conway_AR,57544,
Bayonne_NJ,57448,
WhitePlains_NY,57342,
Anderson_IN,57282,
Dubuque_IA,57250,
DiamondBar_CA,57235,
Springfield_OR,57224,
RoyalOak_MI,57110,
Galveston_TX,57086,
DesPlaines_IL,57062,
RockyMount_NC,57010,
Lakewood_WA,56983,
Cheyenne_WY,56915,
Rogers_AR,56726,
Madera_CA,56700,
Tulare_CA,56654,
LakeHavasuCity_AZ,56553,
Ames_IA,56510,
MidwestCity_OK,56394,
Arcadia_CA,56248,
Woodbury_MN,56128,
SantaCruz_CA,56124,
Auburn_AL,56088,
Decatur_AL,56068,
PortArthur_TX,55910,
NorthMiami_FL,55908,
Rowlett_TX,55780,
Taunton_MA,55702,
BlueSprings_MO,55698,
Perris_CA,55643,
Saginaw_MI,55620,
SanRafael_CA,55602,
Malden_MA,55597,
Medford_MA,55573,
FountainValley_CA,55516,
Owensboro_KY,55516,
OrlandPark_IL,55514,
St.Peters_MO,55500,
Conroe_TX,55429,
Auburn_WA,55426,
WestDesMoines_IA,55426,
Pasco_WA,55246,
Paramount_CA,55236,
BowlingGreen_KY,55097,
Blaine_MN,55042,
Elyria_OH,54979,
Chicopee_MA,54941,
NorthPort_FL,54907,
Pocatello_ID,54901,
CarsonCity_NV,54867,
Broomfield_CO,54858,
Ocala_FL,54801,
LaMesa_CA,54673,
Petaluma_CA,54666,
Lancaster_PA,54626,
PortOrange_FL,54616,
Woodland_CA,54567,
Lakeville_MN,54542,
Wellington_FL,54530,
Wheaton_IL,54465,
Rosemead_CA,54412,
IdahoFalls_ID,54334,
Milford_CT,54136,
Margate_FL,54086,
Novi_MI,54054,
Casper_WY,54047,
Hempstead_NY,53915,
Santee_CA,53860,
Pensacola_FL,53820,
Kettering_OH,53708,
HoffmanEstates_IL,53641,
Cupertino_CA,53637,
NewBraunfels_TX,53547,
Bradenton_FL,53513,
MountProspect_IL,53338,
OakLawn_IL,53244,
Delano_CA,53051,
SanMarcos_TX,52927,
Rocklin_CA,52811,
Novato_CA,52785,
Elkhart_IN,52653,
Moore_OK,52615,
Euless_TX,52579,
Bowie_MD,52544,
ChapelHill_NC,52542,
WestHaven_CT,52420,
Sarasota_FL,52340,
Manhattan_KS,52284,
CathedralCity_CA,52095,
Normal_IL,52056,
BattleCreek_MI,52053,
Shoreline_WA,52005,
Hattiesburg_MS,51993,
DearbornHeights_MI,51972,
Porterville_CA,51830,
Mentor_OH,51825,
Middletown_OH,51422,
NiagaraFalls_NY,51345,
Peabody_MA,51331,
Cerritos_CA,51326,
GrandForks_ND,51313,
Monroe_LA,51215,
NewBrunswick_NJ,51149,
SouthJordan_UT,51131,
Corvallis_OR,51110,
Highland_CA,51096,
CuyahogaFalls_OH,51090,
LakeElsinore_CA,50952,
LaCrosse_WI,50902,
PalmDesert_CA,50876,
Burlington_NC,50857,
Lakewood_OH,50704,
Sanford_FL,50634,
Florissant_MO,50561,
Colton_CA,50517,
Grapevine_TX,50471,
Watsonville_CA,50442,
CoconutCreek_FL,50436,
PineBluff_AR,50408,
Charleston_WV,50302,
Hanford_CA,50103,
Minnetonka_MN,50081,
Mishawaka_IN,50026,
AppleValley_MN,50004,
Gilroy_CA,49934,
Berwyn_IL,49919,
Alpharetta_GA,49903,
Smyrna_GA,49854,
LaMirada_CA,49809,
Joplin_MO,49775,
Yucaipa_CA,49750,
Bellevue_NE,49699,
Placentia_CA,49692,
GrandJunction_CO,49688,
Georgetown_TX,49618,
RanchoSantaMargarita_CA,49591,
Mansfield_OH,49579,
OakPark_IL,49557,
Redmond_WA,49548,
Brentwood_CA,49480,
Glendora_CA,49410,
DownersGrove_IL,49250,
PalmBeachGardens_FL,49227,
Huntington_WV,49185,
SanRamon_CA,49161,
Bedford_TX,49155,
Jupiter_FL,48879,
Poway_CA,48858,
PerthAmboy_NJ,48742,
Tigard_OR,48713,
Logan_UT,48657,
Alexandria_LA,48639,
Valdosta_GA,48547,
EastProvidence_RI,48480,
Wilson_NC,48433,
Albany_OR,48081,
Middletown_CT,48030,
PalmSprings_CA,47952,
Sheboygan_WI,47895,
Hendersonville_TN,47725,
Greenwood_IN,47720,
Stillwater_OK,47653,
DeSoto_TX,47568,
WestSacramento_CA,47511,
Bartlett_TN,47501,
Troy_NY,47459,
Kentwood_MI,47419,
Euclid_OH,47415,
Enid_OK,47396,
Kirkland_WA,47303,
Buckeye_AZ,47261,
Newark_OH,47236,
PinellasPark_FL,47173,
Harrisburg_PA,47148,
Cypress_CA,47123,
Covina_CA,46944,
Azusa_CA,46847,
Lenexa_KS,46822,
Lehi_UT,46802,
Roseville_MI,46782,
Salina_KS,46483,
WestNewYork_NJ,46472,
Murray_UT,46201,
Roswell_NM,46198,
BarnstableTown_MA,46184,
Glenview_IL,46180,
Richland_WA,46155,
Altoona_PA,46144,
Mansfield_TX,46142,
Portage_MI,46133,
Plainfield_NJ,46126,
Chesterfield_MO,46064,
Elmhurst_IL,46013,
EastLansing_MI,45857,
ClevelandHeights_OH,45827,
GrandIsland_NE,45801,
Kokomo_IN,45694,
Biloxi_MS,45670,
Edina_MN,45608,
Maricopa_AZ,45571,
DeKalb_IL,45497,
St.LouisPark_MN,45465,
Olympia_WA,45322,
Summerville_SC,45193,
Wauwatosa_WI,45004,
CedarHill_TX,44786,
Titusville_FL,44756,
Binghamton_NY,44729,
BellGardens_CA,44692,
Danville_VA,44660,
TexasCity_TX,44491,
Bountiful_UT,44473,
Kingsport_TN,44473,
CastleRock_CO,44369,
Dublin_CA,44297,
Southaven_MS,44076,
Methuen_MA,44055,
Huntersville_NC,44054,
Harrisonburg_VA,44015,
Freeport_NY,43881,
LaQuinta_CA,43865,
Warren_OH,43789,
Parker_CO,43767,
SanLuisObispo_CA,43636,
Lincoln_CA,43602,
OroValley_AZ,43465,
EastPoint_GA,43418,
Coeurd'Alene_ID,43360,
SierraVista_AZ,43320,
Woonsocket_RI,43268,
Lawrence_IN,43247,
Covington_KY,43235,
Moline_IL,43088,
BuffaloGrove_IL,42972,
Lombard_IL,42890,
Attleboro_MA,42833,
Hackensack_NJ,42804,
CoralGables_FL,42781,
BonitaSprings_FL,42730,
Prescott_AZ,42697,
Ceres_CA,42690,
Pittsfield_MA,42652,
Farmington_NM,42637,
Strongsville_OH,42617,
Kannapolis_NC,42521,
CommerceCity_CO,42473,
Fairfield_OH,42384,
Caldwell_ID,42331,
Draper_UT,42317,
OaklandPark_FL,42293,
Ankeny_IA,42287,
TheColony_TX,42281,
Concord_NH,42255,
Bartlett_IL,42209,
Sayreville_NJ,42208,
TwinFalls_ID,42197,
Noblesville_IN,42155,
FondduLac_WI,42025,
CrystalLake_IL,41797,
Blacksburg_VA,41796,
Newark_CA,41781,
NorthLauderdale_FL,41772,
Chelsea_MA,41577,
AlisoViejo_CA,41572,
Charlottesville_VA,41487,
Hickory_NC,41305,
Salem_MA,41256,
